Freq.	V(p15v_pri)/V(inj)
1.69433780044731e+00	(6.58789064811956e+01dB,9.94464143031448e+01°)
1.69824365246172e+00	(6.58598686481613e+01dB,9.94279536679381e+01°)
1.70215850839493e+00	(6.58408289125194e+01dB,9.94095231596025e+01°)
1.70608238900310e+00	(6.58217872756226e+01dB,9.93911227039997e+01°)
1.71001531509027e+00	(6.58027437388013e+01dB,9.93727522273345e+01°)
1.71395730750840e+00	(6.57836983033633e+01dB,9.93544116561541e+01°)
1.71790838715757e+00	(6.57646509705946e+01dB,9.93361009173478e+01°)
1.72186857498599e+00	(6.57456017417594e+01dB,9.93178199381466e+01°)
1.72583789199018e+00	(6.57265506181010e+01dB,9.92995686461229e+01°)
1.72981635921508e+00	(6.57074976008416e+01dB,9.92813469691899e+01°)
1.73380399775412e+00	(6.56884426911831e+01dB,9.92631548356010e+01°)
1.73780082874935e+00	(6.56693858903072e+01dB,9.92449921739497e+01°)
1.74180687339159e+00	(6.56503271993760e+01dB,9.92268589131688e+01°)
1.74582215292048e+00	(6.56312666195319e+01dB,9.92087549825302e+01°)
1.74984668862463e+00	(6.56122041518987e+01dB,9.91906803116439e+01°)
1.75388050184174e+00	(6.55931397975812e+01dB,9.91726348304579e+01°)
1.75792361395867e+00	(6.55740735576661e+01dB,9.91546184692575e+01°)
1.76197604641161e+00	(6.55550054332222e+01dB,9.91366311586646e+01°)
1.76603782068614e+00	(6.55359354253005e+01dB,9.91186728296372e+01°)
1.77010895831740e+00	(6.55168635349351e+01dB,9.91007434134690e+01°)
1.77418948089014e+00	(6.54977897631428e+01dB,9.90828428417884e+01°)
1.77827941003890e+00	(6.54787141109244e+01dB,9.90649710465581e+01°)
1.78237876744807e+00	(6.54596365792640e+01dB,9.90471279600744e+01°)
1.78648757485203e+00	(6.54405571691303e+01dB,9.90293135149666e+01°)
1.79060585403527e+00	(6.54214758814763e+01dB,9.90115276441961e+01°)
1.79473362683250e+00	(6.54023927172399e+01dB,9.89937702810558e+01°)
1.79887091512876e+00	(6.53833076773443e+01dB,9.89760413591696e+01°)
1.80301774085954e+00	(6.53642207626983e+01dB,9.89583408124913e+01°)
1.80717412601090e+00	(6.53451319741963e+01dB,9.89406685753044e+01°)
1.81134009261958e+00	(6.53260413127193e+01dB,9.89230245822206e+01°)
1.81551566277311e+00	(6.53069487791347e+01dB,9.89054087681796e+01°)
1.81970085860996e+00	(6.52878543742970e+01dB,9.88878210684480e+01°)
1.82389570231961e+00	(6.52687580990475e+01dB,9.88702614186187e+01°)
1.82810021614272e+00	(6.52496599542156e+01dB,9.88527297546101e+01°)
1.83231442237119e+00	(6.52305599406183e+01dB,9.88352260126649e+01°)
1.83653834334832e+00	(6.52114580590609e+01dB,9.88177501293498e+01°)
1.84077200146893e+00	(6.51923543103374e+01dB,9.88003020415542e+01°)
1.84501541917945e+00	(6.51732486952304e+01dB,9.87828816864894e+01°)
1.84926861897805e+00	(6.51541412145122e+01dB,9.87654890016881e+01°)
1.85353162341478e+00	(6.51350318689441e+01dB,9.87481239250029e+01°)
1.85780445509167e+00	(6.51159206592775e+01dB,9.87307863946056e+01°)
1.86208713666284e+00	(6.50968075862541e+01dB,9.87134763489867e+01°)
1.86637969083464e+00	(6.50776926506059e+01dB,9.86961937269539e+01°)
1.87068214036577e+00	(6.50585758530558e+01dB,9.86789384676312e+01°)
1.87499450806739e+00	(6.50394571943178e+01dB,9.86617105104582e+01°)
1.87931681680324e+00	(6.50203366750972e+01dB,9.86445097951892e+01°)
1.88364908948977e+00	(6.50012142960914e+01dB,9.86273362618916e+01°)
1.88799134909627e+00	(6.49820900579894e+01dB,9.86101898509456e+01°)
1.89234361864495e+00	(6.49629639614729e+01dB,9.85930705030427e+01°)
1.89670592121112e+00	(6.49438360072160e+01dB,9.85759781591850e+01°)
1.90107827992327e+00	(6.49247061958859e+01dB,9.85589127606837e+01°)
1.90546071796322e+00	(6.49055745281431e+01dB,9.85418742491586e+01°)
1.90985325856621e+00	(6.48864410046415e+01dB,9.85248625665366e+01°)
1.91425592502106e+00	(6.48673056260288e+01dB,9.85078776550509e+01°)
1.91866874067026e+00	(6.48481683929471e+01dB,9.84909194572398e+01°)
1.92309172891013e+00	(6.48290293060327e+01dB,9.84739879159455e+01°)
1.92752491319091e+00	(6.48098883659167e+01dB,9.84570829743131e+01°)
1.93196831701689e+00	(6.47907455732253e+01dB,9.84402045757894e+01°)
1.93642196394658e+00	(6.47716009285797e+01dB,9.84233526641218e+01°)
1.94088587759275e+00	(6.47524544325970e+01dB,9.84065271833574e+01°)
1.94536008162263e+00	(6.47333060858898e+01dB,9.83897280778413e+01°)
1.94984459975802e+00	(6.47141558890673e+01dB,9.83729552922158e+01°)
1.95433945577536e+00	(6.46950038427346e+01dB,9.83562087714193e+01°)
1.95884467350596e+00	(6.46758499474938e+01dB,9.83394884606847e+01°)
1.96336027683602e+00	(6.46566942039438e+01dB,9.83227943055388e+01°)
1.96788628970681e+00	(6.46375366126809e+01dB,9.83061262518003e+01°)
1.97242273611482e+00	(6.46183771742987e+01dB,9.82894842455794e+01°)
1.97696964011183e+00	(6.45992158893886e+01dB,9.82728682332760e+01°)
1.98152702580507e+00	(6.45800527585400e+01dB,9.82562781615788e+01°)
1.98609491735734e+00	(6.45608877823407e+01dB,9.82397139774637e+01°)
1.99067333898715e+00	(6.45417209613770e+01dB,9.82231756281928e+01°)
1.99526231496885e+00	(6.45225522962337e+01dB,9.82066630613133e+01°)
1.99986186963271e+00	(6.45033817874952e+01dB,9.81901762246556e+01°)
2.00447202736513e+00	(6.44842094357446e+01dB,9.81737150663327e+01°)
2.00909281260870e+00	(6.44650352415650e+01dB,9.81572795347385e+01°)
2.01372424986236e+00	(6.44458592055391e+01dB,9.81408695785466e+01°)
2.01836636368153e+00	(6.44266813282497e+01dB,9.81244851467091e+01°)
2.02301917867824e+00	(6.44075016102798e+01dB,9.81081261884549e+01°)
2.02768271952125e+00	(6.43883200522130e+01dB,9.80917926532890e+01°)
2.03235701093619e+00	(6.43691366546338e+01dB,9.80754844909906e+01°)
2.03704207770568e+00	(6.43499514181274e+01dB,9.80592016516119e+01°)
2.04173794466950e+00	(6.43307643432804e+01dB,9.80429440854768e+01°)
2.04644463672464e+00	(6.43115754306808e+01dB,9.80267117431799e+01°)
2.05116217882553e+00	(6.42923846809186e+01dB,9.80105045755843e+01°)
2.05589059598411e+00	(6.42731920945854e+01dB,9.79943225338209e+01°)
2.06062991326997e+00	(6.42539976722749e+01dB,9.79781655692868e+01°)
2.06538015581049e+00	(6.42348014145834e+01dB,9.79620336336441e+01°)
2.07014134879101e+00	(6.42156033221097e+01dB,9.79459266788181e+01°)
2.07491351745487e+00	(6.41964033954555e+01dB,9.79298446569961e+01°)
2.07969668710366e+00	(6.41772016352254e+01dB,9.79137875206262e+01°)
2.08449088309725e+00	(6.41579980420273e+01dB,9.78977552224157e+01°)
2.08929613085400e+00	(6.41387926164726e+01dB,9.78817477153295e+01°)
2.09411245585086e+00	(6.41195853591762e+01dB,9.78657649525889e+01°)
2.09893988362349e+00	(6.41003762707570e+01dB,9.78498068876704e+01°)
2.10377843976644e+00	(6.40811653518381e+01dB,9.78338734743035e+01°)
2.10862814993325e+00	(6.40619526030466e+01dB,9.78179646664701e+01°)
2.11348903983661e+00	(6.40427380250142e+01dB,9.78020804184025e+01°)
2.11836113524847e+00	(6.40235216183775e+01dB,9.77862206845823e+01°)
2.12324446200018e+00	(6.40043033837775e+01dB,9.77703854197385e+01°)
2.12813904598267e+00	(6.39850833218607e+01dB,9.77545745788465e+01°)
2.13304491314654e+00	(6.39658614332786e+01dB,9.77387881171264e+01°)
2.13796208950219e+00	(6.39466377186883e+01dB,9.77230259900415e+01°)
2.14289060112002e+00	(6.39274121787523e+01dB,9.77072881532969e+01°)
2.14783047413050e+00	(6.39081848141392e+01dB,9.76915745628379e+01°)
2.15278173472433e+00	(6.38889556255234e+01dB,9.76758851748487e+01°)
2.15774440915263e+00	(6.38697246135854e+01dB,9.76602199457508e+01°)
2.16271852372698e+00	(6.38504917790125e+01dB,9.76445788322014e+01°)
2.16770410481966e+00	(6.38312571224979e+01dB,9.76289617910920e+01°)
2.17270117886371e+00	(6.38120206447419e+01dB,9.76133687795470e+01°)
2.17770977235312e+00	(6.37927823464515e+01dB,9.75977997549220e+01°)
2.18272991184296e+00	(6.37735422283409e+01dB,9.75822546748025e+01°)
2.18776162394951e+00	(6.37543002911313e+01dB,9.75667334970020e+01°)
2.19280493535041e+00	(6.37350565355514e+01dB,9.75512361795611e+01°)
2.19785987278478e+00	(6.37158109623373e+01dB,9.75357626807453e+01°)
2.20292646305342e+00	(6.36965635722329e+01dB,9.75203129590440e+01°)
2.20800473301886e+00	(6.36773143659900e+01dB,9.75048869731685e+01°)
2.21309470960560e+00	(6.36580633443680e+01dB,9.74894846820512e+01°)
2.21819641980018e+00	(6.36388105081350e+01dB,9.74741060448430e+01°)
2.22330989065136e+00	(6.36195558580669e+01dB,9.74587510209129e+01°)
2.22843514927026e+00	(6.36002993949483e+01dB,9.74434195698457e+01°)
2.23357222283049e+00	(6.35810411195723e+01dB,9.74281116514407e+01°)
2.23872113856830e+00	(6.35617810327409e+01dB,9.74128272257102e+01°)
2.24388192378272e+00	(6.35425191352645e+01dB,9.73975662528778e+01°)
2.24905460583574e+00	(6.35232554279631e+01dB,9.73823286933772e+01°)
2.25423921215239e+00	(6.35039899116654e+01dB,9.73671145078501e+01°)
2.25943577022093e+00	(6.34847225872096e+01dB,9.73519236571454e+01°)
2.26464430759302e+00	(6.34654534554430e+01dB,9.73367561023168e+01°)
2.26986485188378e+00	(6.34461825172229e+01dB,9.73216118046220e+01°)
2.27509743077203e+00	(6.34269097734158e+01dB,9.73064907255206e+01°)
2.28034207200037e+00	(6.34076352248983e+01dB,9.72913928266729e+01°)
2.28559880337539e+00	(6.33883588725567e+01dB,9.72763180699384e+01°)
2.29086765276773e+00	(6.33690807172873e+01dB,9.72612664173738e+01°)
2.29614864811232e+00	(6.33498007599968e+01dB,9.72462378312319e+01°)
2.30144181740846e+00	(6.33305190016020e+01dB,9.72312322739597e+01°)
2.30674718872002e+00	(6.33112354430298e+01dB,9.72162497081972e+01°)
2.31206479017555e+00	(6.32919500852181e+01dB,9.72012900967758e+01°)
