Freq.	Ix(x4:e)/Ix(x4:a)
1.99067333898715e+00	(6.62773533577315e+00dB,-1.79993073361375e+02°)
1.99526231496885e+00	(6.62773546961070e+00dB,-1.79993107209587e+02°)
1.99986186963271e+00	(6.62773560283586e+00dB,-1.79993141021398e+02°)
2.00447202736513e+00	(6.62773573545147e+00dB,-1.79993174796988e+02°)
2.00909281260870e+00	(6.62773586746033e+00dB,-1.79993208536535e+02°)
2.01372424986236e+00	(6.62773599886522e+00dB,-1.79993242240215e+02°)
2.01836636368153e+00	(6.62773612966894e+00dB,-1.79993275908207e+02°)
2.02301917867824e+00	(6.62773625987424e+00dB,-1.79993309540689e+02°)
2.02768271952125e+00	(6.62773638948389e+00dB,-1.79993343137838e+02°)
2.03235701093619e+00	(6.62773651850063e+00dB,-1.79993376699830e+02°)
2.03704207770568e+00	(6.62773664692720e+00dB,-1.79993410226844e+02°)
2.04173794466950e+00	(6.62773677476630e+00dB,-1.79993443719056e+02°)
2.04644463672464e+00	(6.62773690202064e+00dB,-1.79993477176642e+02°)
2.05116217882553e+00	(6.62773702869292e+00dB,-1.79993510599779e+02°)
2.05589059598411e+00	(6.62773715478583e+00dB,-1.79993543988644e+02°)
2.06062991326997e+00	(6.62773728030202e+00dB,-1.79993577343412e+02°)
2.06538015581049e+00	(6.62773740524416e+00dB,-1.79993610664259e+02°)
2.07014134879101e+00	(6.62773752961488e+00dB,-1.79993643951361e+02°)
2.07491351745487e+00	(6.62773765341683e+00dB,-1.79993677204895e+02°)
2.07969668710366e+00	(6.62773777665263e+00dB,-1.79993710425035e+02°)
2.08449088309725e+00	(6.62773789932488e+00dB,-1.79993743611956e+02°)
2.08929613085400e+00	(6.62773802143618e+00dB,-1.79993776765833e+02°)
2.09411245585086e+00	(6.62773814298911e+00dB,-1.79993809886843e+02°)
2.09893988362349e+00	(6.62773826398625e+00dB,-1.79993842975158e+02°)
2.10377843976644e+00	(6.62773838443015e+00dB,-1.79993876030955e+02°)
2.10862814993325e+00	(6.62773850432338e+00dB,-1.79993909054406e+02°)
2.11348903983661e+00	(6.62773862366846e+00dB,-1.79993942045688e+02°)
2.11836113524847e+00	(6.62773874246792e+00dB,-1.79993975004973e+02°)
