Freq.	V(p15v_pri)/V(inj)
1.66724721255104e+00	(6.68807346808224e+01dB,9.95762114417377e+01°)
1.67109061431069e+00	(6.68617102103054e+01dB,9.95575371773827e+01°)
1.67494287602642e+00	(6.68426838270638e+01dB,9.95388935668597e+01°)
1.67880401812254e+00	(6.68236555326199e+01dB,9.95202805336168e+01°)
1.68267406107045e+00	(6.68046253284704e+01dB,9.95016980014475e+01°)
1.68655302538872e+00	(6.67855932160875e+01dB,9.94831458944897e+01°)
1.69044093164324e+00	(6.67665591969184e+01dB,9.94646241372258e+01°)
1.69433780044731e+00	(6.67475232723862e+01dB,9.94461326544826e+01°)
1.69824365246172e+00	(6.67284854438904e+01dB,9.94276713714307e+01°)
1.70215850839493e+00	(6.67094457128066e+01dB,9.94092402135842e+01°)
1.70608238900310e+00	(6.66904040804878e+01dB,9.93908391068004e+01°)
1.71001531509027e+00	(6.66713605482641e+01dB,9.93724679772796e+01°)
1.71395730750840e+00	(6.66523151174432e+01dB,9.93541267515646e+01°)
1.71790838715757e+00	(6.66332677893110e+01dB,9.93358153565402e+01°)
1.72186857498599e+00	(6.66142185651317e+01dB,9.93175337194329e+01°)
1.72583789199018e+00	(6.65951674461483e+01dB,9.92992817678107e+01°)
1.72981635921508e+00	(6.65761144335832e+01dB,9.92810594295821e+01°)
1.73380399775412e+00	(6.65570595286379e+01dB,9.92628666329962e+01°)
1.73780082874935e+00	(6.65380027324942e+01dB,9.92447033066420e+01°)
1.74180687339159e+00	(6.65189440463139e+01dB,9.92265693794477e+01°)
1.74582215292048e+00	(6.64998834712396e+01dB,9.92084647806807e+01°)
1.74984668862463e+00	(6.64808210083947e+01dB,9.91903894399466e+01°)
1.75388050184174e+00	(6.64617566588841e+01dB,9.91723432871887e+01°)
1.75792361395867e+00	(6.64426904237943e+01dB,9.91543262526880e+01°)
1.76197604641161e+00	(6.64236223041939e+01dB,9.91363382670617e+01°)
1.76603782068614e+00	(6.64045523011341e+01dB,9.91183792612634e+01°)
1.77010895831740e+00	(6.63854804156485e+01dB,9.91004491665821e+01°)
1.77418948089014e+00	(6.63664066487540e+01dB,9.90825479146419e+01°)
1.77827941003890e+00	(6.63473310014513e+01dB,9.90646754374007e+01°)
1.78237876744807e+00	(6.63282534747243e+01dB,9.90468316671505e+01°)
1.78648757485203e+00	(6.63091740695417e+01dB,9.90290165365158e+01°)
1.79060585403527e+00	(6.62900927868563e+01dB,9.90112299784535e+01°)
1.79473362683250e+00	(6.62710096276060e+01dB,9.89934719262522e+01°)
1.79887091512876e+00	(6.62519245927137e+01dB,9.89757423135310e+01°)
1.80301774085954e+00	(6.62328376830881e+01dB,9.89580410742393e+01°)
1.80717412601090e+00	(6.62137488996237e+01dB,9.89403681426558e+01°)
1.81134009261958e+00	(6.61946582432013e+01dB,9.89227234533878e+01°)
1.81551566277311e+00	(6.61755657146880e+01dB,9.89051069413704e+01°)
1.81970085860996e+00	(6.61564713149383e+01dB,9.88875185418656e+01°)
1.82389570231961e+00	(6.61373750447935e+01dB,9.88699581904617e+01°)
1.82810021614272e+00	(6.61182769050827e+01dB,9.88524258230725e+01°)
1.83231442237119e+00	(6.60991768966228e+01dB,9.88349213759362e+01°)
1.83653834334832e+00	(6.60800750202191e+01dB,9.88174447856149e+01°)
1.84077200146893e+00	(6.60609712766654e+01dB,9.87999959889932e+01°)
1.84501541917945e+00	(6.60418656667442e+01dB,9.87825749232781e+01°)
1.84926861897805e+00	(6.60227581912275e+01dB,9.87651815259974e+01°)
1.85353162341478e+00	(6.60036488508767e+01dB,9.87478157349993e+01°)
1.85780445509167e+00	(6.59845376464430e+01dB,9.87304774884510e+01°)
1.86208713666284e+00	(6.59654245786680e+01dB,9.87131667248382e+01°)
1.86637969083464e+00	(6.59463096482836e+01dB,9.86958833829640e+01°)
1.87068214036577e+00	(6.59271928560124e+01dB,9.86786274019479e+01°)
1.87499450806739e+00	(6.59080742025685e+01dB,9.86613987212250e+01°)
1.87931681680324e+00	(6.58889536886569e+01dB,9.86441972805446e+01°)
1.88364908948977e+00	(6.58698313149749e+01dB,9.86270230199698e+01°)
1.88799134909627e+00	(6.58507070822114e+01dB,9.86098758798759e+01°)
1.89234361864495e+00	(6.58315809910479e+01dB,9.85927558009500e+01°)
1.89670592121112e+00	(6.58124530421586e+01dB,9.85756627241892e+01°)
1.90107827992327e+00	(6.57933232362102e+01dB,9.85585965909005e+01°)
1.90546071796322e+00	(6.57741915738633e+01dB,9.85415573426987e+01°)
1.90985325856621e+00	(6.57550580557716e+01dB,9.85245449215063e+01°)
1.91425592502106e+00	(6.57359226825828e+01dB,9.85075592695517e+01°)
1.91866874067026e+00	(6.57167854549387e+01dB,9.84906003293685e+01°)
1.92309172891013e+00	(6.56976463734755e+01dB,9.84736680437943e+01°)
1.92752491319091e+00	(6.56785054388243e+01dB,9.84567623559695e+01°)
1.93196831701689e+00	(6.56593626516108e+01dB,9.84398832093362e+01°)
1.93642196394658e+00	(6.56402180124564e+01dB,9.84230305476374e+01°)
1.94088587759275e+00	(6.56210715219779e+01dB,9.84062043149150e+01°)
1.94536008162263e+00	(6.56019231807879e+01dB,9.83894044555098e+01°)
1.94984459975802e+00	(6.55827729894953e+01dB,9.83726309140594e+01°)
1.95433945577536e+00	(6.55636209487052e+01dB,9.83558836354973e+01°)
1.95884467350596e+00	(6.55444670590195e+01dB,9.83391625650519e+01°)
1.96336027683602e+00	(6.55253113210370e+01dB,9.83224676482451e+01°)
1.96788628970681e+00	(6.55061537353537e+01dB,9.83057988308912e+01°)
1.97242273611482e+00	(6.54869943025631e+01dB,9.82891560590955e+01°)
1.97696964011183e+00	(6.54678330232566e+01dB,9.82725392792531e+01°)
1.98152702580507e+00	(6.54486698980235e+01dB,9.82559484380482e+01°)
1.98609491735734e+00	(6.54295049274512e+01dB,9.82393834824518e+01°)
1.99067333898715e+00	(6.54103381121259e+01dB,9.82228443597215e+01°)
1.99526231496885e+00	(6.53911694526325e+01dB,9.82063310173995e+01°)
1.99986186963271e+00	(6.53719989495548e+01dB,9.81898434033117e+01°)
2.00447202736513e+00	(6.53528266034763e+01dB,9.81733814655663e+01°)
2.00909281260870e+00	(6.53336524149797e+01dB,9.81569451525524e+01°)
2.01372424986236e+00	(6.53144763846474e+01dB,9.81405344129390e+01°)
2.01836636368153e+00	(6.52952985130622e+01dB,9.81241491956733e+01°)
2.02301917867824e+00	(6.52761188008070e+01dB,9.81077894499797e+01°)
2.02768271952125e+00	(6.52569372484652e+01dB,9.80914551253582e+01°)
2.03235701093619e+00	(6.52377538566211e+01dB,9.80751461715832e+01°)
2.03704207770568e+00	(6.52185686258597e+01dB,9.80588625387024e+01°)
2.04173794466950e+00	(6.51993815567677e+01dB,9.80426041770350e+01°)
2.04644463672464e+00	(6.51801926499328e+01dB,9.80263710371704e+01°)
2.05116217882553e+00	(6.51610019059447e+01dB,9.80101630699673e+01°)
2.05589059598411e+00	(6.51418093253950e+01dB,9.79939802265518e+01°)
2.06062991326997e+00	(6.51226149088773e+01dB,9.79778224583163e+01°)
2.06538015581049e+00	(6.51034186569876e+01dB,9.79616897169178e+01°)
2.07014134879101e+00	(6.50842205703247e+01dB,9.79455819542770e+01°)
2.07491351745487e+00	(6.50650206494900e+01dB,9.79294991225765e+01°)
2.07969668710366e+00	(6.50458188950880e+01dB,9.79134411742596e+01°)
2.08449088309725e+00	(6.50266153077265e+01dB,9.78974080620287e+01°)
2.08929613085400e+00	(6.50074098880166e+01dB,9.78813997388439e+01°)
2.09411245585086e+00	(6.49882026365732e+01dB,9.78654161579219e+01°)
2.09893988362349e+00	(6.49689935540150e+01dB,9.78494572727342e+01°)
2.10377843976644e+00	(6.49497826409649e+01dB,9.78335230370056e+01°)
2.10862814993325e+00	(6.49305698980499e+01dB,9.78176134047131e+01°)
2.11348903983661e+00	(6.49113553259016e+01dB,9.78017283300843e+01°)
2.11836113524847e+00	(6.48921389251562e+01dB,9.77858677675959e+01°)
2.12324446200018e+00	(6.48729206964548e+01dB,9.77700316719722e+01°)
2.12813904598267e+00	(6.48537006404435e+01dB,9.77542199981837e+01°)
2.13304491314654e+00	(6.48344787577739e+01dB,9.77384327014456e+01°)
2.13796208950219e+00	(6.48152550491028e+01dB,9.77226697372164e+01°)
2.14289060112002e+00	(6.47960295150926e+01dB,9.77069310611965e+01°)
2.14783047413050e+00	(6.47768021564116e+01dB,9.76912166293262e+01°)
2.15278173472433e+00	(6.47575729737342e+01dB,9.76755263977849e+01°)
2.15774440915263e+00	(6.47383419677408e+01dB,9.76598603229893e+01°)
2.16271852372698e+00	(6.47191091391182e+01dB,9.76442183615917e+01°)
2.16770410481966e+00	(6.46998744885598e+01dB,9.76286004704788e+01°)
2.17270117886371e+00	(6.46806380167655e+01dB,9.76130066067701e+01°)
2.17770977235312e+00	(6.46613997244424e+01dB,9.75974367278164e+01°)
2.18272991184296e+00	(6.46421596123043e+01dB,9.75818907911982e+01°)
2.18776162394951e+00	(6.46229176810722e+01dB,9.75663687547244e+01°)
2.19280493535041e+00	(6.46036739314749e+01dB,9.75508705764303e+01°)
2.19785987278478e+00	(6.45844283642482e+01dB,9.75353962145769e+01°)
2.20292646305342e+00	(6.45651809801358e+01dB,9.75199456276486e+01°)
2.20800473301886e+00	(6.45459317798893e+01dB,9.75045187743518e+01°)
2.21309470960560e+00	(6.45266807642681e+01dB,9.74891156136139e+01°)
2.21819641980018e+00	(6.45074279340399e+01dB,9.74737361045811e+01°)
2.22330989065136e+00	(6.44881732899808e+01dB,9.74583802066174e+01°)
2.22843514927026e+00	(6.44689168328749e+01dB,9.74430478793027e+01°)
2.23357222283049e+00	(6.44496585635153e+01dB,9.74277390824314e+01°)
2.23872113856830e+00	(6.44303984827037e+01dB,9.74124537760108e+01°)
2.24388192378272e+00	(6.44111365912506e+01dB,9.73971919202598e+01°)
2.24905460583574e+00	(6.43918728899755e+01dB,9.73819534756070e+01°)
2.25423921215239e+00	(6.43726073797072e+01dB,9.73667384026893e+01°)
2.25943577022093e+00	(6.43533400612835e+01dB,9.73515466623504e+01°)
2.26464430759302e+00	(6.43340709355519e+01dB,9.73363782156394e+01°)
2.26986485188378e+00	(6.43148000033692e+01dB,9.73212330238089e+01°)
2.27509743077203e+00	(6.42955272656018e+01dB,9.73061110483135e+01°)
2.28034207200037e+00	(6.42762527231263e+01dB,9.72910122508088e+01°)
2.28559880337539e+00	(6.42569763768286e+01dB,9.72759365931491e+01°)
2.29086765276773e+00	(6.42376982276051e+01dB,9.72608840373861e+01°)
2.29614864811232e+00	(6.42184182763621e+01dB,9.72458545457678e+01°)
2.30144181740846e+00	(6.41991365240162e+01dB,9.72308480807363e+01°)
2.30674718872002e+00	(6.41798529714945e+01dB,9.72158646049265e+01°)
2.31206479017555e+00	(6.41605676197344e+01dB,9.72009040811646e+01°)
